{1, 0.9285077310531795 + 0.*I, 3.571137540130252*^-6 + 0.*I}
{2, 0.931889106094342 + 0.*I, 0.000049244751289298464 + 0.*I}
{3, 0.934727296674888 + 0.*I, 0.00021804202606157867 + 0.*I}
{4, 0.9375062507098578 + 0.*I, 0.0005987419653655496 + 0.*I}
{5, 0.9402341742831807 + 0.*I, 0.0012574762343258022 + 0.*I}
{6, 0.9428403781749868 + 0.*I, 0.0022230252641167033 + 0.*I}
{7, 0.9452995445361477 + 0.*I, 0.003487458193105628 + 0.*I}
{8, 0.9475380376231075 + 0.*I, 0.00501585451808053 + 0.*I}
{9, 0.9495933146279226 + 0.*I, 0.006758416363639573 + 0.*I}
{10, 0.9514167232151316 + 0.*I, 0.00866079287294907 + 0.*I}
{11, 0.953036348034833 + 0.*I, 0.010671093719262465 + 0.*I}
{12, 0.9544779834745726 + 0.*I, 0.01274374867626851 + 0.*I}
{13, 0.9557417903933362 + 0.*I, 0.014841025780048872 + 0.*I}
{14, 0.9568556073011428 + 0.*I, 0.016933069090581905 + 0.*I}
{15, 0.9578428744493463 + 0.*I, 0.018997168151238086 + 0.*I}
{16, 0.9587139592115232 + 0.*I, 0.02101668793335622 + 0.*I}
{17, 0.9594787957355175 + 0.*I, 0.022979956935290598 + 0.*I}
{18, 0.9601603043710275 + 0.*I, 0.024879228384046298 + 0.*I}
{19, 0.9607661057900267 + 0.*I, 0.026709785472855463 + 0.*I}
{20, 0.9613055051361906 + 0.*I, 0.028469210631258655 + 0.*I}
{21, 0.9617822679728796 + 0.*I, 0.03015679188827352 + 0.*I}
{22, 0.9622135396101898 + 0.*I, 0.0317730571114472 + 0.*I}
{23, 0.962600757813519 + 0.*I, 0.03331941420743746 + 0.*I}
{24, 0.9629493831376447 + 0.*I, 0.03479787917052051 + 0.*I}
{25, 0.9632641137791719 + 0.*I, 0.03621086916899265 + 0.*I}
{26, 0.963548997816707 + 0.*I, 0.03756104779112895 + 0.*I}
{27, 0.9638075301295507 + 0.*I, 0.03885121069066163 + 0.*I}
{28, 0.9640427334526444 + 0.*I, 0.04008420212057213 + 0.*I}
{29, 0.9642538747921963 + 0.*I, 0.04126285491259517 + 0.*I}
{30, 0.9644499893052703 + 0.*I, 0.0423899478999233 + 0.*I}
{31, 0.9646296591717609 + 0.*I, 0.04346817700720144 + 0.*I}
{32, 0.9647946186443254 + 0.*I, 0.04450013647550359 + 0.*I}
{33, 0.9649463869462703 + 0.*I, 0.045488307089059925 + 0.*I}
{34, 0.9650862978063843 + 0.*I, 0.0464350497961197 + 0.*I}
{35, 0.9652155252918071 + 0.*I, 0.047342603258203726 + 0.*I}
{36, 0.9653351054168664 + 0.*I, 0.048213084216689586 + 0.*I}
{37, 0.965445954669936 + 0.*I, 0.04904848984187527 + 0.*I}
{38, 0.9655488859809662 + 0.*I, 0.04985070143963238 + 0.*I}
{39, 0.9656446213352172 + 0.*I, 0.05062148905058471 + 0.*I}
{40, 0.9657338043886509 + 0.*I, 0.051362516597102094 + 0.*I}
{41, 0.9658170096637515 + 0.*I, 0.05207534732534837 + 0.*I}
{42, 0.9658947511242819 + 0.*I, 0.05276144935840298 + 0.*I}
{43, 0.9659674897823888 + 0.*I, 0.05342220122863713 + 0.*I}
{44, 0.9660356393901106 + 0.*I, 0.05405889729641718 + 0.*I}
{45, 0.9660995731190435 + 0.*I, 0.05467275299213218 + 0.*I}
{46, 0.9661596271694018 + 0.*I, 0.055264909839658094 + 0.*I}
{47, 0.966213894791167 + 0.*I, 0.0558364402328485 + 0.*I}
{48, 0.9662670872183406 + 0.*I, 0.05638835193614669 + 0.*I}
{49, 0.9663172280400069 + 0.*I, 0.05692159236839934 + 0.*I}
{50, 0.9663645435633333 + 0.*I, 0.0574370526123232 + 0.*I}
{51, 0.9664092396532673 + 0.*I, 0.05793557115865949 + 0.*I}
{52, 0.9664515050024649 + 0.*I, 0.058417937404425704 + 0.*I}
{53, 0.9664915106678678 + 0.*I, 0.058884894916725286 + 0.*I}
{54, 0.9665294136277476 + 0.*I, 0.05933714447335073 + 0.*I}
{55, 0.9665653575728791 + 0.*I, 0.05977534689283395 + 0.*I}
{56, 0.9665994743099267 + 0.*I, 0.06020012566643119 + 0.*I}
{57, 0.9666318842553867 + 0.*I, 0.06061206940509574 + 0.*I}
{58, 0.9666626988689258 + 0.*I, 0.06101173411293955 + 0.*I}
{59, 0.9666920204160724 + 0.*I, 0.06139964529986285 + 0.*I}
{60, 0.9667199431829838 + 0.*I, 0.06177629994409304 + 0.*I}
{61, 0.966746554169865 + 0.*I, 0.062142168315552394 + 0.*I}
{62, 0.9667719339693956 + 0.*I, 0.06249769566995861 + 0.*I}
{63, 0.9667961566560324 + 0.*I, 0.06284330382351526 + 0.*I}
{64, 0.9668192914281881 + 0.*I, 0.06317939261637397 + 0.*I}
{65, 0.9668414017168484 + 0.*I, 0.06350634127385371 + 0.*I}
{66, 0.9668625473995364 + 0.*I, 0.06382450967224014 + 0.*I}
{67, 0.9668827832964477 + 0.*I, 0.06413423951717594 + 0.*I}
{68, 0.9669021605273378 + 0.*I, 0.0644358554403299 + 0.*I}
{69, 0.9669207270993768 + 0.*I, 0.0647296660208885 + 0.*I}
{70, 0.9669385270673843 + 0.*I, 0.06501596473761131 + 0.*I}
{71, 0.9669556020691178 + 0.*I, 0.06529503085605722 + 0.*I}
{72, 0.9669719905106293 + 0.*I, 0.06556713025647591 + 0.*I}
{73, 0.9669877291616098 + 0.*I, 0.06583251620604429 + 0.*I}
{74, 0.967002851678469 + 0.*I, 0.0660914300803695 + 0.*I}
{75, 0.9670173894471286 + 0.*I, 0.06634410203716548 + 0.*I}
{76, 0.9670313721438312 + 0.*I, 0.06659075164603384 + 0.*I}
{77, 0.9670448277448108 + 0.*I, 0.06683158847736292 + 0.*I}
{78, 0.9670577822682902 + 0.*I, 0.06706681265368657 + 0.*I}
{79, 0.9670702604262744 + 0.*I, 0.06729661536542035 + 0.*I}
{80, 0.9670822850757111 + 0.*I, 0.06752117935444107 + 0.*I}
{81, 0.9670938778436171 + 0.*I, 0.06774067936688039 + 0.*I}
{82, 0.9671050594038268 + 0.*I, 0.06795528257802827 + 0.*I}
{83, 0.9671158482566251 + 0.*I, 0.06816514899102104 + 0.*I}
{84, 0.9671262633147596 + 0.*I, 0.06837043181078357 + 0.*I}
{85, 0.9671363211138324 + 0.*I, 0.06857127779571058 + 0.*I}
{86, 0.9671460386407895 + 0.*I, 0.06876782758775224 + 0.*I}
{87, 0.9671554296585314 + 0.*I, 0.06896021602327622 + 0.*I}
{88, 0.9671645099730836 + 0.*I, 0.06914857242480699 + 0.*I}
{89, 0.9671732924606077 + 0.*I, 0.06933302087636042 + 0.*I}
{90, 0.9671817900520902 + 0.*I, 0.06951368048223795 + 0.*I}
{91, 0.9671900145177869 + 0.*I, 0.06969066561113503 + 0.*I}
{92, 0.9671979786473446 + 0.*I, 0.06986408612590703 + 0.*I}
{93, 0.9672056921857061 + 0.*I, 0.07003404760088631 + 0.*I}
{94, 0.9672131658547392 + 0.*I, 0.07020065152621499 + 0.*I}
{95, 0.9672204092664679 + 0.*I, 0.07036399550130126 + 0.*I}
{96, 0.9672274319619665 + 0.*I, 0.07052417341732854 + 0.*I}
{97, 0.9672342430353476 + 0.*I, 0.07068127562962752 + 0.*I}
{98, 0.9672408513694247 + 0.*I, 0.07083538912071652 + 0.*I}
{99, 0.9672472639058485 + 0.*I, 0.07098659765498669 + 0.*I}
{100, 0.9672534886815499 + 0.*I, 0.07113498192390773 + 0.*I}
