{1, 0.922571757062828, 4.557841350218423*^-6}
{2, 0.9265194175588753 + 0.*I, 0.00006208839338989208 + 0.*I}
{3, 0.9297992340706632 + 0.*I, 0.0002720921425845828 + 0.*I}
{4, 0.9329795867733414 + 0.*I, 0.0007396944624066558 + 0.*I}
{5, 0.9360679822121669 + 0.*I, 0.0015381955044670695 + 0.*I}
{6, 0.9389848885489384 + 0.*I, 0.002693341585432449 + 0.*I}
{7, 0.9417095771393464 + 0.*I, 0.004187046451406558 + 0.*I}
{8, 0.9441627803775986 + 0.*I, 0.005971282527915444 + 0.*I}
{9, 0.9463978448723216 + 0.*I, 0.007983466618892847 + 0.*I}
{10, 0.948362618650324, 0.010158587980420318}
{11, 0.9500949630884015 + 0.*I, 0.012436809354460433 + 0.*I}
{12, 0.9516215466447855 + 0.*I, 0.01476718716664107 + 0.*I}
{13, 0.9529659088233469 + 0.*I, 0.017108728141766016 + 0.*I}
{14, 0.954136282467064 + 0.*I, 0.01942990117877666 + 0.*I}
{15, 0.9551701445650763 + 0.*I, 0.02170742712117228 + 0.*I}
{16, 0.9560723262015611 + 0.*I, 0.02392483866311061 + 0.*I}
{17, 0.9568727394967549 + 0.*I, 0.02607108267482907 + 0.*I}
{18, 0.9575773987465652 + 0.*I, 0.02813928688143612 + 0.*I}
{19, 0.9582035453591976 + 0.*I, 0.030125733933018928 + 0.*I}
{20, 0.9587597205425878 + 0.*I, 0.03202904125068396 + 0.*I}
{21, 0.9592552308408434 + 0.*I, 0.033849515905100845 + 0.*I}
{22, 0.9596924727276306 + 0.*I, 0.03558865741584514 + 0.*I}
{23, 0.9600894519250525 + 0.*I, 0.03724878000122363 + 0.*I}
{24, 0.9604463191500293 + 0.*I, 0.03883273332230039 + 0.*I}
{25, 0.9607680472535419 + 0.*I, 0.04034369461380624 + 0.*I}
{26, 0.9610589041124291 + 0.*I, 0.04178501602305603 + 0.*I}
{27, 0.9613225607855178 + 0.*I, 0.043160114361146966 + 0.*I}
{28, 0.9615621827424548 + 0.*I, 0.044472392747999266 + 0.*I}
{29, 0.9617805068251047 + 0.*I, 0.045725186086476445 + 0.*I}
{30, 0.9619760264408872 + 0.*I, 0.04692172418901723 + 0.*I}
{31, 0.962158614291673 + 0.*I, 0.048065107705867416 + 0.*I}
{32, 0.9623261360741956 + 0.*I, 0.049158294179400784 + 0.*I}
{33, 0.9624801628130469 + 0.*I, 0.050204090926287075 + 0.*I}
{34, 0.9626220723178381 + 0.*I, 0.05120515268301859 + 0.*I}
{35, 0.9627530750962394 + 0.*I, 0.05216398276413693 + 0.*I}
{36, 0.9628742378253515 + 0.*I, 0.0530829366458824 + 0.*I}
{37, 0.9629865026741697 + 0.*I, 0.05396422717172144 + 0.*I}
{38, 0.9630907042032425 + 0.*I, 0.054809930788702665 + 0.*I}
{39, 0.9631875832587229 + 0.*I, 0.05562199438316611 + 0.*I}
{40, 0.963277799013466 + 0.*I, 0.05640224240339101 + 0.*I}
{41, 0.9633619395114471 + 0.*I, 0.05715238404618867 + 0.*I}
{42, 0.9634405301050972 + 0.*I, 0.057874020350685625 + 0.*I}
{43, 0.9635140421246094 + 0.*I, 0.05856865109195732 + 0.*I}
{44, 0.9635828977896097 + 0.*I, 0.05923768140340725 + 0.*I}
{45, 0.9636474773739209 + 0.*I, 0.059882428084089306 + 0.*I}
{46, 0.9637081240868626 + 0.*I, 0.06050412556571534 + 0.*I}
{47, 0.9637651468929322 + 0.*I, 0.061103931529799524 + 0.*I}
{48, 0.9638188262199577 + 0.*I, 0.061682932173656405 + 0.*I}
{49, 0.9638694157079112 + 0.*I, 0.062242147132528514 + 0.*I}
{50, 0.9639145934442017 + 0.*I, 0.06278253405813539 + 0.*I}
{51, 0.9639596892083577 + 0.*I, 0.06330499288494733 + 0.*I}
{52, 0.9640023256367426 + 0.*I, 0.06381036981945272 + 0.*I}
{53, 0.9640426766845538 + 0.*I, 0.06429946102400307 + 0.*I}
{54, 0.9640809017402736 + 0.*I, 0.06477301603341387 + 0.*I}
{55, 0.9641171463366984 + 0.*I, 0.06523174092266242 + 0.*I}
{56, 0.9641515441375821 + 0.*I, 0.06567630124205603 + 0.*I}
{57, 0.9641842174874553 + 0.*I, 0.06610732473711359 + 0.*I}
{58, 0.9642152793779217 + 0.*I, 0.06652540386810864 + 0.*I}
{59, 0.9642448331488711 + 0.*I, 0.06693109814468755 + 0.*I}
{60, 0.964272974411117 + 0.*I, 0.06732493628909672 + 0.*I}
{61, 0.9642997914089899 + 0.*I, 0.06770741824119479 + 0.*I}
{62, 0.9643253655271684 + 0.*I, 0.06807901701725028 + 0.*I}
{63, 0.9643497719268294 + 0.*I, 0.06844018043403173 + 0.*I}
{64, 0.9643730800235313 + 0.*I, 0.06879133270818283 + 0.*I}
{65, 0.9643953550996472 + 0.*I, 0.06913287594069163 + 0.*I}
{66, 0.9644166563476345 + 0.*I, 0.06946519149596087 + 0.*I}
{67, 0.9644370401501527 + 0.*I, 0.06978864128219825 + 0.*I}
{68, 0.9644565580709586 + 0.*I, 0.07010356894245044 + 0.*I}
{69, 0.9644752579273007 + 0.*I, 0.07041030096186532 + 0.*I}
{70, 0.9644931852134327 + 0.*I, 0.07070914769800937 + 0.*I}
